date,team1,team2,two_v_two_winner,slot,map_name,winner,winner_score,loser_score,series_winner,picked_by
2026-04-02,OUG,GAL,OUG,4,Meltdown,GAL,9,7
2026-04-02,ALU,ETs,ALU,1,Coastal,ALU,9,2
2026-04-02,ALU,ETs,ALU,2,Takeoff,ALU,250,33
2026-04-02,ALU,ETs,ALU,3,Crossroads Strike,ALU,4,0
2026-04-02,GL,TSM,TSM,1,Slums,GL,9,6
2026-04-02,GL,TSM,TSM,2,Arsenal,TSM,250,123
2026-04-02,GL,TSM,TSM,3,Crossroads Strike,GL,4,0
2026-04-02,GL,TSM,TSM,4,Coastal,TSM,10,8
2026-04-02,GL,TSM,TSM,5,Takeoff,GL,250,166,,TSM
2026-04-02,SPG,HF,SPG,1,Coastal,SPG,9,5
2026-04-02,SPG,HF,SPG,2,Summit,HF,250,248
2026-04-02,SPG,HF,SPG,3,Crossroads Strike,HF,4,2
2026-04-02,SPG,HF,SPG,4,Firing Range,SPG,9,2
2026-04-02,SPG,HF,SPG,5,Takeoff,SPG,250,209,,HF
2026-04-03,ALU,XROCK,ALU,1,Coastal,ALU,9,0
2026-04-03,ALU,XROCK,ALU,2,Hacienda,ALU,250,38
2026-04-03,ALU,XROCK,ALU,3,Crossroads Strike,ALU,4,0
2026-04-03,Q9,DVS,Q9,1,Firing Range,Q9,9,6
2026-04-03,Q9,DVS,Q9,2,Combine,Q9,250,171
2026-04-03,Q9,DVS,Q9,3,Raid,DVS,4,2
2026-04-03,Q9,DVS,Q9,4,Tunisia,Q9,9,4
2026-04-03,Wolves,TSM,Wolves,1,Firing Range,Wolves,9,6
2026-04-03,Wolves,TSM,Wolves,2,Arsenal,Wolves,250,83
2026-04-03,Wolves,TSM,Wolves,3,Standoff,Wolves,4,1
2026-04-03,ELV,Felines,ELV,1,Firing Range,ELV,9,1
2026-04-03,ELV,Felines,ELV,2,Takeoff,ELV,250,85
2026-04-03,ELV,Felines,ELV,3,Raid,ELV,4,1
